Sequence Name,Name,Type,Minimum,Maximum,Length
BdhnBdis2,Bdhn2_E2,exon,259,765,507
BdhnBdis2,Bdhn2_E1,exon,1,258,258
BdhnBdis2,Semento_K1,motif,316,360,45
BdhnBdis2,Segmento_K3,motif,658,702,45
BdhnBdis2,Segmento_k2,motif,502,546,45
BdhnBdis2,Segmento_F***,motif,64,93,30
BdhnBdis2,Segmento_S,motif,241,258,18
BdhnBhybD2,Bdhn2_E2,exon,259,765,507
BdhnBhybD2,Bdhn2_E1,exon,1,258,258
BdhnBhybD2,Semento_K1,motif,316,360,45
BdhnBhybD2,Segmento_K3,motif,658,702,45
BdhnBhybD2,Segmento_k2,motif,502,546,45
BdhnBhybD2,Segmento_F***,motif,64,93,30
BdhnBhybD2,Segmento_S,motif,241,258,18
BdhnBhybS2,BdhnBsta2_E2,exon,259,759,501
BdhnBhybS2,BdhnBsta2_E1,exon,1,258,258
BdhnBhybS2,Segmento_K,motif,307,360,54
BdhnBhybS2,Segmento_K3,motif,652,696,45
BdhnBhybS2,Segmento_K2,motif,502,546,45
BdhnBhybS2,Segmento_F***,motif,64,93,30
BdhnBhybS2,Segmento_S,motif,238,258,21
BdhnBsta2,BdhnBsta2_E2,exon,259,759,501
BdhnBsta2,BdhnBsta2_E1,exon,1,258,258
BdhnBsta2,Segmento_K,motif,307,360,54
BdhnBsta2,Segmento_K3,motif,652,696,45
BdhnBsta2,Segmento_K2,motif,502,546,45
BdhnBsta2,Segmento_F***,motif,64,93,30
BdhnBsta2,Segmento_S,motif,238,258,21
BdhnBsyl2,BdhnBsta2_E2,exon,259,777,519
BdhnBsyl2,BdhnBsta2_E1,exon,1,258,258
BdhnBsyl2,Segmento_K,motif,307,360,54
BdhnBsyl2,Segmento_K3,motif,670,714,45
BdhnBsyl2,Segmento_K2,motif,514,558,45
BdhnBsyl2,Segmento_F***,motif,64,93,30
BdhnBsyl2,Segmento_S,motif,238,258,21
DHN1_Atauschii,BdhnBsta2_E1,exon,1,261,261
DHN1_Atauschii,Segmento_K,motif,313,366,54
DHN1_Atauschii,Segmento_K3,motif,679,723,45
DHN1_Atauschii,Segmento_K2,motif,523,567,45
DHN1_Atauschii,Segmento_S,motif,241,261,21
DHN1_Osativa,Segmento_K,motif,313,366,54
DHN1_Osativa,Segmento_S,motif,244,264,21
DHN1_Zmays,Segmento_S,motif,277,294,18
DHN2_Zmays,Segmento_S,motif,262,279,18
DHNHvul8,Segmento_K,motif,298,351,54
DHNHvul8,Segmento_K3,motif,655,699,45
DHNHvul8,Segmento_K2,motif,499,543,45
DHNHvul8,Segmento_S,motif,223,243,21
DHNSbic2,Segmento_K,motif,319,372,54
DHNSbic2,Segmento_S,motif,250,270,21
