Sequence Name,Name,Type,Minimum,Maximum,Length
BdhnBdis3,Bdhn3_E2,exon,193,492,300
BdhnBdis3,Bdhn3_E1,exon,1,195,195
BdhnBdis3,Segmento_K2,motif,439,483,45
BdhnBdis3,Segmento_K1,motif,223,264,42
BdhnBdis3,Segmento_Y,motif,37,60,24
BdhnBdis3,Segmento_S,motif,175,192,18
BdhnBdis3,Segmento_phi,motif,196,216,21
BdhnBhybD3,Bdhn3_E2,exon,193,492,300
BdhnBhybD3,Bdhn3_E1,exon,1,195,195
BdhnBhybD3,Segmento_K2,motif,439,483,45
BdhnBhybD3,Segmento_K1,motif,223,264,42
BdhnBhybD3,Segmento_Y,motif,37,60,24
BdhnBhybD3,Segmento_S,motif,175,192,18
BdhnBhybD3,Segmento_phi,motif,196,216,21
BdhnBhybS3,BdhnBsta3_E2,exon,193,483,291
BdhnBhybS3,BdhnBsta3_E1,exon,<1,192,>192
BdhnBhybS3,Segmento_K2,motif,430,474,45
BdhnBhybS3,Segmento_K1,motif,223,264,42
BdhnBhybS3,Segmento_Y,motif,37,60,24
BdhnBhybS3,Segmento_S,motif,175,192,18
BdhnBhybS3,Segmento_phi,motif,196,216,21
BdhnBsta3,BdhnBsta3_E2,exon,193,483,291
BdhnBsta3,BdhnBsta3_E1,exon,<1,192,>192
BdhnBsta3,Segmento_K2,motif,430,474,45
BdhnBsta3,Segmento_K1,motif,223,264,42
BdhnBsta3,Segmento_Y,motif,37,60,24
BdhnBsta3,Segmento_S,motif,175,192,18
BdhnBsta3,Segmento_phi,motif,196,216,21
BdhnBsyl3,Bdhn3_E2,exon,196,489,294
BdhnBsyl3,Bdhn3_E1,exon,1,198,198
BdhnBsyl3,Segmento_K2,motif,436,480,45
BdhnBsyl3,Segmento_Y,motif,37,60,24
BdhnBsyl3,Segmento_S,motif,178,195,18
BdhnBsyl3,Segmento_phi,motif,199,219,21
DHNAtau4,Segmento_K1,motif,235,276,42
DHNAtau4,Segmento_S,motif,187,204,18
DHNAtau4,Segmento_Y,motif,31,54,24
DHNAtau4,Segmento_phi,motif,208,228,21
DHNAtau5,Segmento_K2,motif,436,480,45
DHNAtau5,Segmento_K1,motif,229,270,42
DHNAtau5,Segmento_Y,motif,25,48,24
DHNAtau5,Segmento_phi,motif,202,222,21
DHNAtau6,Segmento_K2,motif,451,495,45
DHNAtau6,Segmento_K1,motif,247,288,42
DHNAtau6,Segmento_S,motif,199,216,18
DHNAtau6,Segmento_Y,motif,43,63,21
DHNAtau6,Segmento_phi,motif,220,240,21
DHNAtau7,Segmento_K1,motif,211,252,42
DHNAtau7,Segmento_Y,motif,43,66,24
DHNAtau7,Segmento_S,motif,163,180,18
DHNAtau7,Segmento_phi,motif,184,204,21
DHNHvul3,Segmento_K2,motif,415,459,45
DHNHvul3,Segmento_K1,motif,208,249,42
DHNHvul3,Segmento_S,motif,160,177,18
DHNHvul3,Segmento_Y,motif,28,48,21
DHNHvul3,Segmento_phi,motif,181,201,21
DHNHvul7,Segmento_K1,motif,274,315,42
DHNHvul7,Segmento_S,motif,226,243,18
DHNHvul7,Segmento_Y,motif,46,66,21
DHNHvul7,Segmento_phi,motif,247,267,21
