Sequence Name,Name,Type,Minimum,Maximum,Length
BdhnBdis6,Bdhn6_E1,exon,1,774,774
BdhnBdis6,Bdhn6_E2,exon,775,1188,414
BdhnBdis6,Segmento_K2,motif,949,993,45
BdhnBdis6,Segmento_K2,motif,1132,1176,45
BdhnBdis6,Segmento_K1,motif,808,849,42
BdhnBdis6,Segmento_Y2,motif,157,180,24
BdhnBdis6,Segmento_phi,motif,781,804,24
BdhnBdis6,Segmento_Y1,motif,49,69,21
BdhnBdis6,Segmento_S,motif,757,774,18
BdhnBhybD6,Bdhn6_E1,exon,1,774,774
BdhnBhybD6,Bdhn6_E2,exon,775,1188,414
BdhnBhybD6,Segmento_K2,motif,949,993,45
BdhnBhybD6,Segmento_K2,motif,1132,1176,45
BdhnBhybD6,Segmento_K1,motif,808,849,42
BdhnBhybD6,Segmento_Y2,motif,157,180,24
BdhnBhybD6,Segmento_phi,motif,781,804,24
BdhnBhybD6,Segmento_Y1,motif,49,69,21
BdhnBhybD6,Segmento_S,motif,757,774,18
BdhnBhybS6,BdhnBsta6_E1,exon,1,633,633
BdhnBhybS6,Segmento_K2,motif,883,927,45
BdhnBhybS6,Segmento_K2,motif,1036,1080,45
BdhnBhybS6,Segmento_K1,motif,733,774,42
BdhnBhybS6,Segmento_Y,motif,154,177,24
BdhnBhybS6,Segmento_phi,motif,706,729,24
BdhnBhybS6,Segmento_Y,motif,46,66,21
BdhnBhybS6,Segmento_S,motif,679,696,18
BdhnBsta6,BdhnBsta6_E1,exon,1,633,633
BdhnBsta6,BdhnBsta6_E2,exon,637,1089,453
BdhnBsta6,Segmento_K2,motif,820,864,45
BdhnBsta6,Segmento_K2,motif,1033,1077,45
BdhnBsta6,Segmento_K1,motif,670,711,42
BdhnBsta6,Segmento_Y,motif,154,177,24
BdhnBsta6,Segmento_phi,motif,643,666,24
BdhnBsta6,Segmento_Y,motif,46,66,21
BdhnBsta6,Segmento_S,motif,616,633,18
BdhnBsyl6,Segmento_K2,motif,1036,1080,45
BdhnBsyl6,Segmento_K2,motif,1216,1260,45
BdhnBsyl6,Segmento_K1,motif,883,924,42
BdhnBsyl6,Segmento_Y2,motif,157,180,24
BdhnBsyl6,Segmento_phi,motif,856,879,24
BdhnBsyl6,Segmento_Y1,motif,49,69,21
BdhnBsyl6,Segmento_S,motif,829,846,18
DHNAtau3,Segmento_K2,motif,1054,1098,45
DHNAtau3,Segmento_K1,motif,1240,1281,42
DHNAtau3,Segmento_K1,motif,880,921,42
DHNAtau3,Segmento_Y,motif,151,174,24
DHNAtau3,Segmento_phi,motif,853,876,24
DHNAtau3,Segmento_Y1,motif,46,66,21
DHNAtau3,Segmento_S,motif,826,843,18
DHNOsat2,Segmento_K1,motif,736,780,45
DHNOsat2,Segmento_K1,motif,925,966,42
DHNOsat2,Segmento_phi,motif,712,735,24
DHNOsat2,Segmento_Y,motif,43,66,24
DHNSbic4,Segmento_K2,motif,1114,1158,45
DHNSbic4,Segmento_K2,motif,949,993,45
DHNSbic4,Segmento_Y,motif,37,57,21
DHNSbic4,Segmento_S,motif,718,735,18
DHNZmays4,Segmento_K2,motif,925,969,45
DHNZmays4,Segmento_Y,motif,34,54,21
DHNZmays5,Segmento_Y,motif,34,54,21
