Sequence Name,Name,Type,Minimum,Maximum,Length
BdhnBdis7,Bdhn7_E2,exon,229,552,324
BdhnBdis7,Bdhn7_E1,exon,1,229,229
BdhnBdis7,Segmento_K2,motif,499,543,45
BdhnBdis7,Segmento_K1,motif,259,300,42
BdhnBdis7,Segmento_Y,motif,43,63,21
BdhnBdis7,Segmento_phi,motif,232,252,21
BdhnBdis7,Segmento_S,motif,211,228,18
BdhnBhybD7,Bdhn7_E2,exon,229,552,324
BdhnBhybD7,Bdhn7_E1,exon,1,229,229
BdhnBhybD7,Segmento_K2,motif,499,543,45
BdhnBhybD7,Segmento_K1,motif,259,300,42
BdhnBhybD7,Segmento_Y,motif,43,63,21
BdhnBhybD7,Segmento_phi,motif,232,252,21
BdhnBhybD7,Segmento_S,motif,211,228,18
BdhnBhybS7,BdhnBsta7_E2,exon,229,546,318
BdhnBhybS7,BdhnBsta7_E1,exon,1,228,228
BdhnBhybS7,Segmento_K2,motif,493,537,45
BdhnBhybS7,Segmento_K1,motif,259,300,42
BdhnBhybS7,Segmento_Y,motif,43,63,21
BdhnBhybS7,Segmento_phi,motif,232,252,21
BdhnBhybS7,Segmento_S,motif,211,228,18
BdhnBsta7,BdhnBsta7_E2,exon,229,546,318
BdhnBsta7,BdhnBsta7_E1,exon,1,228,228
BdhnBsta7,Segmento_K2,motif,493,537,45
BdhnBsta7,Segmento_K1,motif,259,300,42
BdhnBsta7,Segmento_Y,motif,43,63,21
BdhnBsta7,Segmento_phi,motif,232,252,21
BdhnBsta7,Segmento_S,motif,211,228,18
BdhnBsyl7,BdhnBsta7_E2,exon,229,543,315
BdhnBsyl7,BdhnBsta7_E1,exon,1,228,228
BdhnBsyl7,Segmento_K2,motif,490,534,45
BdhnBsyl7,Segmento_K1,motif,259,300,42
BdhnBsyl7,Segmento_Y,motif,43,63,21
BdhnBsyl7,Segmento_phi,motif,232,252,21
BdhnBsyl7,Segmento_S,motif,211,228,18
DHNAtau2,Segmento_K1,motif,214,258,45
DHNAtau2,Segmento_K2,motif,346,390,45
DHNAtau2,Segmento_phi,motif,190,210,21
DHNAtau2,Segmento_S,motif,169,186,18
DHNAtau9,Segmento_K1,motif,235,279,45
DHNAtau9,Segmento_K2,motif,376,420,45
DHNAtau9,Segmento_phi,motif,211,231,21
DHNAtau9,Segmento_S,motif,190,207,18
DHNHvul1a,Segmento_K1,motif,232,276,45
DHNHvul1a,Segmento_K2,motif,364,408,45
DHNHvul1a,Segmento_phi,motif,208,228,21
DHNHvul1a,Segmento_S,motif,187,204,18
DHNHvul1b,Segmento_K1,motif,232,276,45
DHNHvul1b,Segmento_K2,motif,364,408,45
DHNHvul1b,Segmento_phi,motif,208,228,21
DHNHvul1b,Segmento_S,motif,187,204,18
DHNHvul2a,Segmento_K1,motif,235,279,45
DHNHvul2a,Segmento_K2,motif,370,414,45
DHNHvul2a,Segmento_phi,motif,211,231,21
DHNHvul2a,Segmento_S,motif,190,207,18
DHNHvul2b,Segmento_K1,motif,235,279,45
DHNHvul2b,Segmento_K2,motif,370,414,45
DHNHvul2b,Segmento_phi,motif,211,231,21
DHNHvul2b,Segmento_S,motif,190,207,18
DHNOsat3a,Segmento_K2,motif,442,486,45
DHNOsat3a,Segmento_K1,motif,265,309,45
DHNOsat3a,Segmento_Y,motif,40,63,24
DHNOsat3a,Segmento_phi,motif,241,264,24
DHNOsat3a,Segmento_S,motif,217,234,18
DHNOsat3b,Segmento_K1,motif,295,339,45
DHNOsat3b,Segmento_K2,motif,466,510,45
DHNOsat3b,Segmento_Y,motif,37,60,24
DHNOsat3b,Segmento_S,motif,250,267,18
DHNSbic3,Segmento_K1,motif,259,303,45
DHNSbic3,Segmento_K2,motif,406,450,45
DHNSbic3,Segmento_Y1,motif,49,69,21
DHNSbic3,Segmento_phi,motif,235,255,21
DHNSbic3,Segmento_S,motif,214,231,18
