Sequence Name,Name,Type,Minimum,Maximum,Length
BdhnBdis8,Bdhn8_E2,exon,232,474,243
BdhnBdis8,Bdhn8_E1,exon,1,232,232
BdhnBdis8,Segmento_K2,motif,421,465,45
BdhnBdis8,Segmento_K1,motif,262,303,42
BdhnBdis8,Segmento_Y,motif,43,63,21
BdhnBdis8,Segmento_phi,motif,235,255,21
BdhnBdis8,Segmento_S,motif,214,231,18
BdhnBhybD8,Bdhn8_E2,exon,232,474,243
BdhnBhybD8,Bdhn8_E1,exon,1,232,232
BdhnBhybD8,Segmento_K2,motif,421,465,45
BdhnBhybD8,Segmento_K1,motif,262,303,42
BdhnBhybD8,Segmento_Y,motif,43,63,21
BdhnBhybD8,Segmento_phi,motif,235,255,21
BdhnBhybD8,Segmento_S,motif,214,231,18
BdhnBhybS8,BdhnBsta8_E2,exon,232,510,279
BdhnBhybS8,Bdhn_Bsta8_E1,exon,1,231,231
BdhnBhybS8,Segmento_K2,motif,457,501,45
BdhnBhybS8,Segmento_K1,motif,262,303,42
BdhnBhybS8,Segmento_phi,motif,235,255,21
BdhnBhybS8,Segmento_Y,motif,43,63,21
BdhnBhybS8,Segmento_S,motif,214,231,18
BdhnBsta8,BdhnBsta8_E2,exon,232,510,279
BdhnBsta8,Bdhn_Bsta8_E1,exon,1,231,231
BdhnBsta8,Segmento_K2,motif,457,501,45
BdhnBsta8,Segmento_K1,motif,262,303,42
BdhnBsta8,Segmento_phi,motif,235,255,21
BdhnBsta8,Segmento_Y,motif,43,63,21
BdhnBsta8,Segmento_S,motif,214,231,18
BdhnBsyl8,BdhnBsta8_E2,exon,235,519,285
BdhnBsyl8,Bdhn_Bsta8_E1,exon,1,231,231
BdhnBsyl8,Segmento_K2,motif,466,510,45
BdhnBsyl8,Segmento_K1,motif,265,306,42
BdhnBsyl8,Segmento_phi,motif,238,258,21
BdhnBsyl8,Segmento_Y,motif,43,63,21
BdhnBsyl8,Segmento_S,motif,214,231,18
DHNAtau2,Segmento_K1,motif,214,258,45
DHNAtau2,Segmento_K2,motif,346,390,45
DHNAtau2,Segmento_phi,motif,190,210,21
DHNAtau2,Segmento_S,motif,169,186,18
DHNAtau9,Segmento_K1,motif,235,279,45
DHNAtau9,Segmento_K2,motif,376,420,45
DHNAtau9,Segmento_phi,motif,211,231,21
DHNAtau9,Segmento_S,motif,190,207,18
DHNHvul1a,Segmento_K1,motif,232,276,45
DHNHvul1a,Segmento_K2,motif,364,408,45
DHNHvul1a,Segmento_phi,motif,208,228,21
DHNHvul1a,Segmento_S,motif,187,204,18
DHNHvul1b,Segmento_K1,motif,232,276,45
DHNHvul1b,Segmento_K2,motif,364,408,45
DHNHvul1b,Segmento_phi,motif,208,228,21
DHNHvul1b,Segmento_S,motif,187,204,18
DHNHvul2a,Segmento_K1,motif,235,279,45
DHNHvul2a,Segmento_K2,motif,370,414,45
DHNHvul2a,Segmento_phi,motif,211,231,21
DHNHvul2a,Segmento_S,motif,190,207,18
DHNHvul2b,Segmento_K1,motif,235,279,45
DHNHvul2b,Segmento_K2,motif,370,414,45
DHNHvul2b,Segmento_phi,motif,211,231,21
DHNHvul2b,Segmento_S,motif,190,207,18
DHNOsat3a,Segmento_K2,motif,442,486,45
DHNOsat3a,Segmento_K1,motif,265,309,45
DHNOsat3a,Segmento_Y,motif,40,63,24
DHNOsat3a,Segmento_phi,motif,241,264,24
DHNOsat3a,Segmento_S,motif,217,234,18
DHNOsat3b,Segmento_K1,motif,295,339,45
DHNOsat3b,Segmento_K2,motif,466,510,45
DHNOsat3b,Segmento_Y,motif,37,60,24
DHNOsat3b,Segmento_S,motif,250,267,18
DHNSbic3,Segmento_K1,motif,259,303,45
DHNSbic3,Segmento_K2,motif,406,450,45
DHNSbic3,Segmento_Y1,motif,49,69,21
DHNSbic3,Segmento_phi,motif,235,255,21
DHNSbic3,Segmento_S,motif,214,231,18
