Sequence Name,Name,Type,Minimum,Maximum,Length
BdhBsyl10,Bdhn10_E1,exon,1,303,303
BdhBsyl10,NLS_segment,motif,127,165,39
BdhBsyl10,Segmento_K1,motif,214,252,39
BdhBsyl10,Segmento_S*,motif,283,303,21
BdhnBdis10,Bdhn10_E1,exon,1,303,303
BdhnBdis10,NLS_segment,motif,127,165,39
BdhnBdis10,Segmento_K1,motif,214,252,39
BdhnBdis10,Segmento_S*,motif,283,303,21
BdhnBhybD10,Bdhn10_E1,exon,1,303,303
BdhnBhybD10,NLS_segment,motif,127,165,39
BdhnBhybD10,Segmento_K1,motif,214,252,39
BdhnBhybD10,Segmento_S*,motif,283,303,21
BdhnBhybS10,BdhnBsta10,exon,1,324,324
BdhnBhybS10,NLS_segment,motif,145,183,39
BdhnBhybS10,Segmento_K1,motif,232,270,39
BdhnBhybS10,Segmento_S*,motif,304,324,21
BdhnBsta10,BdhnBsta10,exon,1,324,324
BdhnBsta10,NLS_segment,motif,145,183,39
BdhnBsta10,Segmento_K1,motif,232,270,39
BdhnBsta10,Segmento_S*,motif,304,324,21
DHNHvul13,BdhnBsta10,exon,1,324,324
DHNHvul13,NLS_segment,motif,136,174,39
DHNHvul13,NLS_segment,motif,214,246,33
DHNHvul13,Segmento_S*,motif,304,324,21
DHNOsat13,Bdhn10_E1,exon,1,279,279
DHNOsat13,NLS_segment,motif,112,150,39
DHNOsat13,Segmento_K1,motif,187,225,39
DHNOsat13,Segmento_S*,motif,259,279,21
DHNSbic10,Bdhn10_E1,exon,1,306,306
DHNSbic10,NLS_segment,motif,124,162,39
DHNSbic10,Segmento_K1,motif,217,255,39
DHNSbic10,Segmento_S*,motif,286,306,21
DHNZmays10a,BdhnBsta10,exon,1,327,327
DHNZmays10a,NLS_segment,motif,136,174,39
DHNZmays10a,Segmento_S*,motif,307,327,21
DHNZmays10b,BdhnBsta10,exon,1,303,303
DHNZmays10b,NLS_segment,motif,142,180,39
DHNZmays10b,Segmento_S*,motif,283,303,21
